noise_type,angle_deg,trans_m,n_samples,traj_pos_l2,traj_rot_l1,traj_pos_acc_001,traj_rot_acc_0025,traj_gripper
R_only,0.0,0.0,1024,0.016377,0.0326,0.301758,0.53125,1.0
R_only,2.0,0.0,1024,0.016363,0.028447,0.294922,0.571289,1.0
R_only,5.0,0.0,1024,0.016233,0.030148,0.299805,0.549805,1.0
R_only,10.0,0.0,1024,0.01648,0.032306,0.304688,0.546875,1.0
R_only,15.0,0.0,1024,0.016393,0.031743,0.299805,0.56543,1.0
R_only,20.0,0.0,1024,0.016577,0.032386,0.283203,0.545898,1.0
T_only,0.0,0.0,1024,0.016321,0.032077,0.302734,0.552734,1.0
T_only,0.0,0.01,1024,0.016284,0.03196,0.291016,0.557617,1.0
T_only,0.0,0.02,1024,0.01629,0.030114,0.300781,0.550781,1.0
T_only,0.0,0.05,1024,0.016263,0.032181,0.292969,0.558594,1.0
T_only,0.0,0.1,1024,0.016277,0.032083,0.314453,0.541992,1.0
T_only,0.0,0.2,1024,0.016649,0.031556,0.276367,0.554688,1.0
RT,0.0,0.0,1024,0.016401,0.029997,0.304688,0.552734,1.0
RT,2.0,0.01,1024,0.016325,0.031377,0.3125,0.529297,0.999023
RT,5.0,0.02,1024,0.016332,0.028279,0.299805,0.560547,1.0
RT,10.0,0.05,1024,0.016463,0.031936,0.294922,0.556641,1.0
RT,15.0,0.1,1024,0.016394,0.032251,0.296875,0.554688,1.0
RT,20.0,0.2,1024,0.017216,0.032217,0.256836,0.551758,1.0
