noise_type,angle_deg,trans_m,n_samples,traj_pos_l2,traj_rot_l1,traj_pos_acc_001,traj_rot_acc_0025,traj_gripper
R_only,0.0,0.0,348,0.00515,0.006523,0.991379,0.997126,1.0
R_only,2.0,0.0,348,0.005225,0.006403,0.997126,1.0,1.0
R_only,5.0,0.0,348,0.00514,0.006469,0.994253,0.997126,1.0
R_only,10.0,0.0,348,0.005265,0.006592,0.985632,0.997126,1.0
R_only,15.0,0.0,348,0.005341,0.006296,0.994253,0.997126,1.0
R_only,20.0,0.0,348,0.00518,0.006375,0.997126,0.997126,1.0
T_only,0.0,0.0,348,0.005177,0.006452,0.988506,0.997126,1.0
T_only,0.0,0.01,348,0.005125,0.006422,0.994253,0.997126,1.0
T_only,0.0,0.02,348,0.005229,0.006312,0.994253,0.997126,1.0
T_only,0.0,0.05,348,0.005232,0.006439,0.994253,0.997126,1.0
T_only,0.0,0.1,348,0.00525,0.006388,0.988506,0.994253,1.0
T_only,0.0,0.2,348,0.005204,0.006525,0.997126,0.997126,1.0
RT,0.0,0.0,348,0.00523,0.00636,0.988506,0.994253,1.0
RT,2.0,0.01,348,0.005201,0.006581,0.997126,1.0,1.0
RT,5.0,0.02,348,0.005156,0.006582,0.988506,0.997126,1.0
RT,10.0,0.05,348,0.005184,0.006451,0.991379,0.994253,1.0
RT,15.0,0.1,348,0.005122,0.006394,0.994253,0.994253,1.0
RT,20.0,0.2,348,0.005167,0.006358,0.994253,0.994253,1.0
