noise_type,angle_deg,trans_m,n_samples,traj_pos_l2,traj_rot_l1,traj_pos_acc_001,traj_rot_acc_0025,traj_gripper
R_only,0.0,0.0,348,0.004053,0.004836,1.0,1.0,1.0
R_only,2.0,0.0,348,0.00421,0.005154,1.0,1.0,1.0
R_only,5.0,0.0,348,0.004252,0.005171,0.997126,1.0,1.0
R_only,10.0,0.0,348,0.004134,0.005186,0.997126,1.0,1.0
R_only,15.0,0.0,348,0.004144,0.005131,0.997126,1.0,1.0
R_only,20.0,0.0,348,0.004188,0.005096,0.991379,1.0,1.0
T_only,0.0,0.0,348,0.004127,0.004929,0.997126,1.0,1.0
T_only,0.0,0.01,348,0.0042,0.004836,0.997126,1.0,1.0
T_only,0.0,0.02,348,0.004144,0.005092,1.0,1.0,1.0
T_only,0.0,0.05,348,0.004126,0.005042,1.0,1.0,1.0
T_only,0.0,0.1,348,0.004164,0.005104,0.997126,1.0,1.0
T_only,0.0,0.2,348,0.004136,0.005231,0.994253,1.0,1.0
RT,0.0,0.0,348,0.004125,0.00515,1.0,1.0,1.0
RT,2.0,0.01,348,0.004113,0.005159,0.997126,1.0,1.0
RT,5.0,0.02,348,0.004367,0.004998,0.994253,1.0,1.0
RT,10.0,0.05,348,0.004111,0.004919,1.0,1.0,1.0
RT,15.0,0.1,348,0.004123,0.004935,0.997126,1.0,1.0
RT,20.0,0.2,348,0.00411,0.005177,1.0,1.0,1.0
