Job started: Wed May 20 08:33:10 PM CDT 2026  Node: gh021.hsn.cm.delta.internal.ncsa.edu
GPUs: 0
Step 0: grad_norm=2.2598, loss=0.2641, param_norm=1802.3865
Step 50: grad_norm=1.8480, loss=0.2166, param_norm=1802.3861
Step 100: grad_norm=1.1956, loss=0.1042, param_norm=1802.3862
Step 150: grad_norm=1.0463, loss=0.0661, param_norm=1802.3868
Step 200: grad_norm=0.8945, loss=0.0488, param_norm=1802.3878
Step 250: grad_norm=0.8337, loss=0.0390, param_norm=1802.3893
Step 300: grad_norm=0.7927, loss=0.0374, param_norm=1802.3918
Step 350: grad_norm=0.6713, loss=0.0339, param_norm=1802.3959
Step 400: grad_norm=0.5669, loss=0.0286, param_norm=1802.4009
Step 450: grad_norm=0.7286, loss=0.0323, param_norm=1802.4075
Step 500: grad_norm=0.5002, loss=0.0278, param_norm=1802.4159
Step 550: grad_norm=0.5606, loss=0.0302, param_norm=1802.4263
Step 600: grad_norm=0.4558, loss=0.0251, param_norm=1802.4375
Step 650: grad_norm=0.4972, loss=0.0248, param_norm=1802.4470
Step 700: grad_norm=0.4713, loss=0.0263, param_norm=1802.4578
Step 750: grad_norm=0.4749, loss=0.0231, param_norm=1802.4681
Step 800: grad_norm=0.3702, loss=0.0184, param_norm=1802.4783
Step 850: grad_norm=0.5076, loss=0.0183, param_norm=1802.4884
Step 900: grad_norm=0.4121, loss=0.0207, param_norm=1802.4987
Step 950: grad_norm=0.3502, loss=0.0183, param_norm=1802.5087
Step 1000: grad_norm=0.3720, loss=0.0194, param_norm=1802.5181
Step 1050: grad_norm=0.3593, loss=0.0164, param_norm=1802.5287
Step 1100: grad_norm=0.3454, loss=0.0172, param_norm=1802.5392
Step 1150: grad_norm=0.2857, loss=0.0130, param_norm=1802.5499
Step 1200: grad_norm=0.3718, loss=0.0171, param_norm=1802.5591
Step 1250: grad_norm=0.2430, loss=0.0127, param_norm=1802.5690
Step 1300: grad_norm=0.2771, loss=0.0135, param_norm=1802.5789
Step 1350: grad_norm=0.3449, loss=0.0132, param_norm=1802.5885
Step 1400: grad_norm=0.3306, loss=0.0145, param_norm=1802.5968
Step 1450: grad_norm=0.3144, loss=0.0134, param_norm=1802.6066
Step 1500: grad_norm=0.3292, loss=0.0130, param_norm=1802.6166
Step 1550: grad_norm=0.3246, loss=0.0119, param_norm=1802.6250
Step 1600: grad_norm=0.3799, loss=0.0140, param_norm=1802.6343
Step 1650: grad_norm=0.3167, loss=0.0117, param_norm=1802.6450
Step 1700: grad_norm=0.3208, loss=0.0120, param_norm=1802.6545
Step 1750: grad_norm=0.3082, loss=0.0107, param_norm=1802.6635
